t,temp 6 mm,temp 8 mm
1,37,37
2,38,37.2
3,39.1,37.5
4,39.9,38
5,40.6,38.5
6,41.3,39
7,42,39.5
8,42.5,40
9,43,40.5
10,43.5,41
11,43.9,41.5
12,44.3,41.9
13,44.7,42.4
14,45.1,42.8
15,45.4,43.2
16,45.7,43.6
17,45.9,44.3
18,46.3,44.7
19,46.5,45
20,46.8,45.4
21,47.1,45.7
22,47.3,46
23,47.5,46.3
24,47.7,46.6
25,47.9,46.9
26,48.1,47.1
27,48.3,47.4
28,48.5,47.7
29,48.7,47.9
30,48.82,48.2
31,49,48.4
32,49.2,48.6
33,49.3,48.9
34,49.5,49.1
35,49.6,49.3
36,49.7,49.5
37,49.9,49.7
38,50,49.9
39,50.2,50.1
40,50.3,50.3
41,50.4,50.5
42,50.5,50.7
43,50.6,50.9
44,50.8,51.1
45,50.9,51.2
46,51,51.4
47,51.1,51.5
48,51.2,51.7
49,51.3,51.9
50,51.4,52
51,51.5,52.2
52,51.6,52.3
53,51.7,52.5
54,51.8,52.6
55,51.9,52.8
56,52,52.9
57,52.1,53
58,52.2,53.2
59,52.25,53.3
60,52.3,53.5
61,52.4,53.6
62,52.5,53.7
63,52.56,53.8
64,52.6,54
65,52.7,54.1
66,52.8,54.2
67,52.9,54.3
68,53,54.4
69,53,54.5
70,53.1,54.6
71,53.15,54.8
72,53.22,54.9
73,53.3,55
74,53.4,55.1
75,53.4,55.2
